Date,Close/Last,Volume,Open,High,Low
09/16/2022,$249.02,1615162,$247.8,$250.36,$242.25
09/15/2022,$252,1240178,$244.02,$260.305,$244.02
09/14/2022,$246.74,811951,$246.89,$252.12,$243.415
09/13/2022,$247.06,711399,$255,$255.165,$246.45
09/12/2022,$267.79,509014,$264.29,$272.15,$264.03
09/09/2022,$263.11,760284,$259.09,$264.93,$259.09
09/08/2022,$257.3,624499,$245.37,$258.25,$244.03
09/07/2022,$249.94,594708,$239.23,$250.29,$237.66
09/06/2022,$238.99,652410,$244.55,$244.81,$234.55
09/02/2022,$244.51,603178,$249.54,$250.94,$241.92
09/01/2022,$245.74,654181,$238.96,$245.97,$234.01
08/31/2022,$243.7,530476,$250.21,$252.5,$243
08/30/2022,$246.68,545984,$250.59,$254,$242.908
08/29/2022,$247.99,536645,$250,$255.487,$246.7
08/26/2022,$252.45,868682,$271.96,$271.96,$252.12
08/25/2022,$272.99,569641,$265.64,$273.24,$265.61
08/24/2022,$261.7,703043,$252.68,$262.92,$251.6
08/23/2022,$252.23,601041,$255.63,$258.3,$251.16
08/22/2022,$256.05,648397,$263.14,$266.82,$255.08
08/19/2022,$269.82,793606,$277.56,$279.56,$268.74
